Date,company_name,Amount,Exchange,Segment,scrip_code,Instrument Type,Strike Price,Expiry,Trade Num,Trade Time,side,quantity,price,yahoo_ticker,yahoo_stock_name
2022-11-07 00:00:00,COROM INTER,944.3,NSE,EQ,506395,Equity,,,3500890,13:44:41,Buy,1,944.3,COROMANDEL.NS,
2022-11-07 00:00:00,COROM INTER,944.35,NSE,EQ,506395,Equity,,,3500891,13:44:41,Buy,1,944.35,COROMANDEL.NS,
2022-11-07 00:00:00,COROM INTER,944.4,NSE,EQ,506395,Equity,,,3500892,13:44:41,Buy,1,944.4,COROMANDEL.NS,
2022-11-07 00:00:00,COROM INTER,16054.8,NSE,EQ,506395,Equity,,,3500893,13:44:41,Buy,17,944.4,COROMANDEL.NS,
2022-11-07 00:00:00,VINYL CHEM,31762.5,NSE,EQ,524129,Equity,,,76634115,10:14:19,Sell,50,635.25,VINYLINDIA.NS,
2022-11-07 00:00:00,ICICI BANK L,6373.5,NSE,EQ,532174,Equity,,,25506279,09:29:33,Buy,7,910.5,ICICIBANK.NS,
2022-11-07 00:00:00,REDINGTON,1236.4,NSE,EQ,532805,Equity,,,75584444,09:26:41,Sell,8,154.55,REDINGTON.NS,
2022-11-07 00:00:00,REDINGTON,21939,NSE,EQ,532805,Equity,,,75584445,09:26:41,Sell,142,154.5,REDINGTON.NS,
2022-11-07 00:00:00,Bharat Dynamics Limited,34408.5,NSE,EQ,541143,Equity,,,1378388,10:12:20,Buy,35,983.1,BDL.NS,
2022-11-07 00:00:00,HAL,7683,NSE,EQ,541154,Equity,,,25484053,09:28:38,Buy,3,2561,HAL.NS,
2022-11-07 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,33883.5,NSE,EQ,542920,Equity,,,79102578,13:41:12,Sell,70,484.05,SUMICHEM.NS,
2022-11-04 00:00:00,RAYMOND LTD,9125.55,NSE,EQ,500330,Equity,,,76474422,10:15:33,Buy,7,1303.65,RAYMOND.NS,
2022-11-04 00:00:00,RAYMOND LTD,9125.9,NSE,EQ,500330,Equity,,,76474423,10:15:33,Buy,7,1303.7,RAYMOND.NS,
2022-11-04 00:00:00,RAYMOND LTD,14348.4,NSE,EQ,500330,Equity,,,76474424,10:15:33,Buy,11,1304.4,RAYMOND.NS,
